file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_AB00557_0572_1971356_to_1974769,གཞན་ཡང་དེ་དག་གི་གང་ཟག་བཏགས་ཡོད་དང་ ,gzhan yang de dag gi gang zag btags yod dang _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00557_0572_1971356_to_1974769.wav,STT_AB,2,35,3.413,wav16k/STT_AB00557_0572_1971356_to_1974769.wav,གཞན་ཡང་དེ་དག་གིས་གང་ཟག་བཏགས་ཡོད་དང་
STT_AB00557_0564_1926561_to_1927602,མི་དགེ་བ་བཅུ་དང་ ,mi dge ba bcu dang _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00557_0564_1926561_to_1927602.wav,STT_AB,2,17,1.041,wav16k/STT_AB00557_0564_1926561_to_1927602.wav,མི་དགེ་བ་བཅུ་དང་
STT_AB00516_0076_373233_to_374752,སེམས་ནང་དྲན་ཚད།  ,sems nang dran tshad/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00516_0076_373233_to_374752.wav,STT_AB,2,17,1.519,wav16k/STT_AB00516_0076_373233_to_374752.wav,སེམས་ནང་དྲན་ཚད།
STT_AB00172_0200_688284_to_690639,དེ་དག་ནི་རྒྱུ་ཐུན་མོང་བ་ཡིན་ནོ།  ,de dag ni rgyu thun mong ba yin no/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00172_0200_688284_to_690639.wav,STT_AB,2,33,2.355,wav16k/STT_AB00172_0200_688284_to_690639.wav,དེ་དག་ནི་རྒྱུ་ཐུན་མོང་བ་ཡིན་ནོ།
STT_AB00151_0499_1559629_to_1560591,བོད་ཀྱི་གནད་སྟངས་ནི་ ,bod kyi gnad stangs ni _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00151_0499_1559629_to_1560591.wav,STT_AB,2,21,0.962,wav16k/STT_AB00151_0499_1559629_to_1560591.wav,བོད་ཀྱི་གནས་སྟངས་ནི།
STT_AB00151_0500_1560979_to_1561705,དངོས་དོན་གྱི་ ,dngos don gyi _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00151_0500_1560979_to_1561705.wav,STT_AB,2,14,0.726,wav16k/STT_AB00151_0500_1560979_to_1561705.wav,དངོས་དོན་གྱི་
STT_AB00151_0473_1501461_to_1502440,བདེན་འབྲེལ་ཡིན་ཀྱང་།  ,bden 'brel yin kyang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00151_0473_1501461_to_1502440.wav,STT_AB,2,22,0.979,wav16k/STT_AB00151_0473_1501461_to_1502440.wav,བདེན་འབྲེལ་ཡིན་ཀྱང་
STT_AB00151_0474_1502929_to_1503469,དེ་བཞིན་ ,de bzhin _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00151_0474_1502929_to_1503469.wav,STT_AB,2,9,0.54,wav16k/STT_AB00151_0474_1502929_to_1503469.wav,དེ་བཞིན་
STT_AB00151_0475_1503891_to_1505309,བོད་ཀྱི་རྒྱལ་རབས་ནང་བལྟས་ན།  ,bod kyi rgyal rabs nang bltas na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00151_0475_1503891_to_1505309.wav,STT_AB,2,29,1.418,wav16k/STT_AB00151_0475_1503891_to_1505309.wav,བོད་ཀྱི་རྒྱལ་རབས་ནང་བལྟས་ན།
STT_AB00152_0016_158667_to_160354,ང་ཚོའི་འགོ་དམག་ཡོངས་རྫོགས་བསྡོམས་ན་ ,nga tsho'i 'go dmag yongs rdzogs bsdoms na _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00152_0016_158667_to_160354.wav,STT_AB,2,36,1.687,wav16k/STT_AB00152_0016_158667_to_160354.wav,ང་ཚོའི་མགོ་མང་ཡོངས་རྫོགས་བསྡོམས་ན།
